date,zone,ndvi_mean,ndvi_median,ndvi_std,ndvi_p25,ndvi_p75,ndvi_min,ndvi_max,height_mean_cm,height_median_cm,height_p25_cm,height_p75_cm,scene_key,valid_pixels,total_pixels,valid_fraction
5/17/2024,N,0.763376772,0.791262627,0.09521465,0.702798247,0.83845681,0.251059145,0.91294533,66.33766937,69.12626648,60.27983093,73.84568024,2024-05-17_7309693,59210,59210,1
5/18/2024,N,0.805055141,0.831940532,0.088753372,0.753324866,0.872819364,0.25543952,0.935741663,70.50552368,73.19404602,65.33248901,77.28193665,2024-05-18_7311938,59210,59210,1
5/23/2024,N,0.788612783,0.81733942,0.087637946,0.732454419,0.85840404,0.263862729,0.91291827,68.86127472,71.73394775,63.24544144,75.8404007,2024-05-23_7323633,59210,59210,1
5/26/2024,N,0.680885673,0.706794858,0.080919892,0.62391001,0.746354282,0.263025224,0.806697965,58.08856201,60.67948532,52.39100266,64.63542938,2024-05-26_7330787,59210,59210,1
5/27/2024,N,0.801834643,0.832126617,0.091309056,0.740401745,0.876314998,0.305548847,0.929944634,70.18346405,73.21266174,64.04017639,77.63150024,2024-05-27_7333350,59210,59210,1
5/28/2024,N,0.83777076,0.86946249,0.092936732,0.777251959,0.912970066,0.315366477,0.957332373,73.77707672,76.94624329,67.72519684,81.2970047,2024-05-28_7335584,59210,59210,1
5/29/2024,N,0.796409309,0.826760948,0.089054018,0.739149332,0.867903292,0.271950424,0.923336267,69.64093781,72.67609406,63.91493607,76.79032898,2024-05-29_7338881,59210,59210,1
6/1/2024,N,0.856850326,0.886884809,0.088851824,0.804515243,0.926110864,0.237432927,0.96434021,75.68503571,78.68848419,70.45152283,82.61108398,2024-06-01_7344466,59210,59210,1
6/4/2024,N,0.829916835,0.853914499,0.076846264,0.78706336,0.888685405,0.269662917,0.92683965,72.99168396,75.39144897,68.70633698,78.8685379,2024-06-04_7351306,59210,59210,1
6/5/2024,N,0.830657542,0.857224643,0.086039208,0.777180254,0.899983168,0.256114215,0.941262841,73.06575012,75.72246552,67.71803284,79.99832153,2024-06-05_7355224,59210,59210,1
6/6/2024,N,0.837543547,0.859057188,0.078507245,0.793676496,0.89853549,0.286368847,0.93640703,73.75434875,75.90571594,69.36764526,79.85354614,2024-06-06_7355382,59210,59210,1
